iter	Passed	Remaining
0	0	77
1	1	72
2	2	69
3	2	63
4	3	61
5	3	59
6	4	57
7	4	56
8	5	55
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	10	48
17	10	48
18	11	48
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	14	44
25	15	44
26	16	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	20	37
36	21	36
37	22	35
38	22	35
39	23	34
40	23	34
41	23	32
42	24	32
43	24	31
44	25	31
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	28
52	31	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	68	44
61	69	42
62	70	41
63	71	40
64	73	39
65	75	38
66	76	37
67	76	36
68	77	34
69	78	33
70	79	32
71	79	30
72	80	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	91	14
86	92	13
87	93	12
88	93	11
89	94	10
90	94	9
91	95	8
92	95	7
93	96	6
94	97	5
95	97	4
96	98	3
97	98	2
98	99	1
99	99	0
